ticket_id,short_description
1,"I can't log in to my account, it says my password is wrong but it's not."
2,"The website is super slow right now, I can't even open the booking page."
3,"My credit card payment for booking #123 failed for some reason."
4,"I'm trying to book a room for next week but the calendar is greyed out."
5,"Can't sign in. The login page just refreshes."
6,"The pages are loading very slowly. It's making it hard to manage my reservations."
7,"My payment was declined, but my bank says there's no issue."
8,"I was trying to reserve a suite and got an error message."
9,"I'm locked out of my account, please help."
10,"The whole site is lagging, it's unusable."
11,"The payment system isn't accepting my Visa card."
12,"When I click 'confirm booking' nothing happens."
13,"Is the login server down? I can't get in."
14,"The website is so slow, it's timing out."
15,"I'm trying to pay for my stay, but the transaction fails every time."
16,"The booking form is broken, I can't select dates."
17,"Password reset is not working for me."
18,"The site performance is terrible this morning."
19,"There's an issue with the payment gateway, I think."
20,"I can't complete my reservation. It's frustrating."
21,"My username and password are correct but i can't login"
22,"The website is taking ages to load each page."
23,"I've tried two different cards and the payment still fails."
24,"I'm unable to book a room, the system gives me an error."
25,"I think I forgot my password but the reset link is not coming to my email."
26,"The app is very sluggish and unresponsive."
27,"I am unable to process my payment for my booking."
28,"I am having issues with the booking functionality."
29,"I can't access my account, it keeps saying invalid credentials."
30,"The website's response time is really high."
